Clone name,Pathogen,Infection,Info
AC T 2 /18 [TTO],Vascular Streak Dieback,78.82,17 plants sampled.
AC T 4 /2 [TTO],Vascular Streak Dieback,28.33,12 plants sampled.
ALMEIDA,Vascular Streak Dieback,24.09,22 plants sampled.
AMAZ 15 /15,Vascular Streak Dieback,52.5,24 plants sampled.
AMAZ 2 /1,Vascular Streak Dieback,88.24,17 plants sampled.
APA 4,Vascular Streak Dieback,75.0,13 plants sampled.
BE 10,Vascular Streak Dieback,90.45,22 plants sampled.
BE 3,Vascular Streak Dieback,77.04,27 plants sampled.
C 13 /5 [TRI],Vascular Streak Dieback,55.92,27 plants sampled.
CATONGO,Vascular Streak Dieback,42.08,24 plants sampled.
CC 10,Vascular Streak Dieback,45.79,19 plants sampled.
CC 11,Vascular Streak Dieback,25.65,23 plants sampled.
CC 130,Vascular Streak Dieback,64.67,15 plants sampled.
CC 38,Vascular Streak Dieback,78.89,18 plants sampled.
CC 41,Vascular Streak Dieback,90.09,22 plants sampled.
CC 60,Vascular Streak Dieback,48.33,18 plants sampled.
CCN 10,Vascular Streak Dieback,62.78,18 plants sampled.
DR 1,Vascular Streak Dieback,8.13,24 plants sampled.
EEG 48,Vascular Streak Dieback,76.96,23 plants sampled.
EEG 65,Vascular Streak Dieback,65.53,17 plants sampled.
EET 236 [ECU],Vascular Streak Dieback,13.53,17 plants sampled.
EET 272 [ECU],Vascular Streak Dieback,48.5,20 plants sampled.
EET 283 [ECU],Vascular Streak Dieback,77.55,17 plants sampled.
EET 308 [ECU],Vascular Streak Dieback,9.17,24 plants sampled.
EET 390 [ECU],Vascular Streak Dieback,12.5,12 plants sampled.
EET 400 [ECU],Vascular Streak Dieback,36.0,15 plants sampled.
EQX 12 [EQX],Vascular Streak Dieback,41.74,23 plants sampled.
EQX 16 [EQX],Vascular Streak Dieback,78.33,18 plants sampled.
EQX 80 [EQX],Vascular Streak Dieback,40.42,24 plants sampled.
GA 57 [MAY],Vascular Streak Dieback,11.74,23 plants sampled.
GS 1124,Vascular Streak Dieback,74.0,20 plants sampled.
GS 50,Vascular Streak Dieback,22.08,24 plants sampled.
GS 54,Vascular Streak Dieback,62.85,21 plants sampled.
ICS 1,Vascular Streak Dieback,14.17,24 plants sampled.
ICS 16,Vascular Streak Dieback,88.04,23 plants sampled.
ICS 39,Vascular Streak Dieback,24.58,24 plants sampled.
ICS 40,Vascular Streak Dieback,37.78,18 plants sampled.
ICS 45,Vascular Streak Dieback,50.0,19 plants sampled.
ICS 6,Vascular Streak Dieback,80.0,18 plants sampled.
ICS 7,Vascular Streak Dieback,61.46,24 plants sampled.
ICS 84,Vascular Streak Dieback,59.56,23 plants sampled.
ICS 9,Vascular Streak Dieback,72.26,31 plants sampled.
ICS 95,Vascular Streak Dieback,8.67,15 plants sampled.
ICS 98,Vascular Streak Dieback,25.0,18 plants sampled.
IMC 105,Vascular Streak Dieback,25.0,18 plants sampled.
IMC 14,Vascular Streak Dieback,13.33,18 plants sampled.
IMC 23,Vascular Streak Dieback,43.33,18 plants sampled.
IMC 47,Vascular Streak Dieback,62.08,24 plants sampled.
IMC 53,Vascular Streak Dieback,73.75,16 plants sampled.
IMC 58,Vascular Streak Dieback,55.9,22 plants sampled.
IMC 76,Vascular Streak Dieback,70.0,23 plants sampled.
IMC 85,Vascular Streak Dieback,64.5,20 plants sampled.
JA 5 /46 [POU],Vascular Streak Dieback,91.67,18 plants sampled.
M 109 [ICT],Vascular Streak Dieback,47.08,24 plants sampled.
M 180 [ICT],Vascular Streak Dieback,28.68,19 plants sampled.
MATINA,Vascular Streak Dieback,50.83,24 plants sampled.
MO 98,Vascular Streak Dieback,53.11,9 plants sampled.
MOQ 2 /16,Vascular Streak Dieback,76.15,13 plants sampled.
MOQ 4 /17,Vascular Streak Dieback,87.22,18 plants sampled.
NA 1,Vascular Streak Dieback,82.73,18 plants sampled.
NA 13,Vascular Streak Dieback,80.5,20 plants sampled.
NA 15,Vascular Streak Dieback,52.94,17 plants sampled.
NA 153,Vascular Streak Dieback,21.46,24 plants sampled.
NA 173,Vascular Streak Dieback,48.89,18 plants sampled.
NA 250,Vascular Streak Dieback,32.94,17 plants sampled.
NA 26,Vascular Streak Dieback,78.61,18 plants sampled.
NA 284,Vascular Streak Dieback,89.44,18 plants sampled.
NA 31,Vascular Streak Dieback,33.0,18 plants sampled.
NA 32,Vascular Streak Dieback,63.91,23 plants sampled.
NA 33,Vascular Streak Dieback,81.54,13 plants sampled.
NA 34,Vascular Streak Dieback,59.44,18 plants sampled.
NA 833,Vascular Streak Dieback,52.08,24 plants sampled.
P 43 [MEX],Vascular Streak Dieback,92.5,12 plants sampled.
PA 107 [PER],Vascular Streak Dieback,54.0,15 plants sampled.
PA 110 [PER],Vascular Streak Dieback,30.43,23 plants sampled.
PA 121 [PER],Vascular Streak Dieback,66.25,24 plants sampled.
PA 127 [PER],Vascular Streak Dieback,54.44,18 plants sampled.
PA 13 [PER],Vascular Streak Dieback,80.31,16 plants sampled.
PA 138 [PER],Vascular Streak Dieback,50.67,15 plants sampled.
PA 14 [PER],Vascular Streak Dieback,77.83,23 plants sampled.
PA 148 [PER],Vascular Streak Dieback,70.0,16 plants sampled.
PA 149 [PER],Vascular Streak Dieback,39.44,18 plants sampled.
PA 155 [PER],Vascular Streak Dieback,13.54,24 plants sampled.
PA 156 [PER],Vascular Streak Dieback,81.18,17 plants sampled.
PA 168 [PER],Vascular Streak Dieback,79.44,18 plants sampled.
PA 171 [PER],Vascular Streak Dieback,77.33,15 plants sampled.
PA 173 [PER],Vascular Streak Dieback,8.25,20 plants sampled.
PA 173 [PER],Vascular Streak Dieback,58.67,15 plants sampled.
PA 179 [PER],Vascular Streak Dieback,60.0,18 plants sampled.
PA 181 [PER],Vascular Streak Dieback,71.37,16 plants sampled.
PA 191 [PER],Vascular Streak Dieback,28.0,20 plants sampled.
PA 195 [PER],Vascular Streak Dieback,80.5,20 plants sampled.
PA 29 [PER],Vascular Streak Dieback,75.83,12 plants sampled.
PA 291 [PER],Vascular Streak Dieback,61.2,25 plants sampled.
PA 300 [PER],Vascular Streak Dieback,11.19,21 plants sampled.
PA 35 [PER],Vascular Streak Dieback,57.0,20 plants sampled.
PA 56 [PER],Vascular Streak Dieback,69.5,20 plants sampled.
PA 7 [PER],Vascular Streak Dieback,87.5,4 plants sampled.
PA 73 [PER],Vascular Streak Dieback,38.89,18 plants sampled.
PA 76 [PER],Vascular Streak Dieback,63.34,22 plants sampled.
PA 88 [PER],Vascular Streak Dieback,34.67,15 plants sampled.
PA 9 [PER],Vascular Streak Dieback,91.25,16 plants sampled.
PA 90 [PER],Vascular Streak Dieback,75.0,21 plants sampled.
POUND 161,Vascular Streak Dieback,61.59,19 plants sampled.
POUND 29,Vascular Streak Dieback,58.89,18 plants sampled.
POUND 4,Vascular Streak Dieback,85.0,23 plants sampled.
REDAMEL,Vascular Streak Dieback,56.11,18 plants sampled.
RIM 41 [MEX],Vascular Streak Dieback,18.53,17 plants sampled.
RIM 52 [MEX],Vascular Streak Dieback,27.73,22 plants sampled.
RIM 76 [MEX],Vascular Streak Dieback,87.14,7 plants sampled.
SCA 12,Vascular Streak Dieback,8.75,24 plants sampled.
SCA 19,Vascular Streak Dieback,6.94,18 plants sampled.
SCA 6,Vascular Streak Dieback,15.29,17 plants sampled.
SCA 9,Vascular Streak Dieback,8.54,24 plants sampled.
SCR 5,Vascular Streak Dieback,61.43,21 plants sampled.
SIAL 339,Vascular Streak Dieback,75.55,18 plants sampled.
SIAL 93,Vascular Streak Dieback,78.64,22 plants sampled.
SIAL 98,Vascular Streak Dieback,31.5,20 plants sampled.
SPA 10 [COL],Vascular Streak Dieback,37.14,21 plants sampled.
SPEC 41 /11,Vascular Streak Dieback,62.73,11 plants sampled.
SPEC 41 /6,Vascular Streak Dieback,88.33,9 plants sampled.
STAHEL,Vascular Streak Dieback,40.0,17 plants sampled.
TAP 2 [CHA],Vascular Streak Dieback,5.0,18 plants sampled.
UA 12,Vascular Streak Dieback,47.92,24 plants sampled.
UA 13,Vascular Streak Dieback,63.0,20 plants sampled.
UA 18,Vascular Streak Dieback,33.89,18 plants sampled.
UA 19,Vascular Streak Dieback,73.33,21 plants sampled.
UA 20,Vascular Streak Dieback,78.33,24 plants sampled.
UA 22,Vascular Streak Dieback,48.7,23 plants sampled.
UA 28,Vascular Streak Dieback,44.35,23 plants sampled.
UA 31,Vascular Streak Dieback,34.17,24 plants sampled.
UA 32,Vascular Streak Dieback,17.78,18 plants sampled.
UA 9,Vascular Streak Dieback,19.5,20 plants sampled.
UF 11,Vascular Streak Dieback,6.76,17 plants sampled.
UF 168,Vascular Streak Dieback,25.0,14 plants sampled.
UF 221,Vascular Streak Dieback,55.83,24 plants sampled.
UIT 1,Vascular Streak Dieback,13.33,24 plants sampled.
UIT 2,Vascular Streak Dieback,36.67,24 plants sampled.
UIT 3,Vascular Streak Dieback,9.57,23 plants sampled.
UIT 4,Vascular Streak Dieback,8.33,18 plants sampled.
UIT 5,Vascular Streak Dieback,45.55,18 plants sampled.
VEN B 47 [ICT],Vascular Streak Dieback,63.33,24 plants sampled.
WA 13 [MYS],Vascular Streak Dieback,71.96,23 plants sampled.
WA 20 [MYS],Vascular Streak Dieback,25.3,17 plants sampled.
